1,North South University,5.95,0,0
2,University of Science and Technology Chittagong,6.25,6.25,0
3,Independent University Bangladesh,10.28,13.85,0
4,Central Womens University,0.33,0.33,0
5,International University of Business Agriculture and Technology,6,6,0
6,International Islamic University Chittagong,43,43,0
7,Ahsanullah University of Science and Technology,15.55,9.84,0
8,American International University Bangladesh,9.09,29.84,0
9,East West University,2.44,10.54,0
10,University of Asia Pacific,0.99,3.57,0.78
11,Gono University,25,19.4,0
12,The Peoples University of Bangladesh,0,1.15,0.34
13,Asian University of Bangladesh,10.02,4.2,1.52
14,Dhaka International University,5.82,1.42,2.24
15,Manarat International University,4.3,1.6,0
16,Brac University,11.17,11.81,3.13
17,Bangladesh University,1.01,1.85,0.98
18,Leading University,2.06,2.06,1.94
19,Begum Gulchemonara Trust University,5.21,2.8,0
20,Sylhet International University,2,1.19,0
21,University of Development Alternative,24.79,1.26,4.63
22,Premier University,2.74,5.3,0
23,South East University,1.32,1.7,3.01
24,Stamford University Bangladesh,4.53,1.5,2.89
25,Daffodil International University,70,11.22,1.57
